game_id,game_date,home_team,away_team,week,home_score,away_score,team,home_away,opponent
2025_01_PIT_NYJ,2025-09-07,NYJ,PIT,1,32.0,34.0,NYJ,home,PIT
2025_02_BUF_NYJ,2025-09-14,NYJ,BUF,2,10.0,30.0,NYJ,home,BUF
2025_03_NYJ_TB,2025-09-21,TB,NYJ,3,29.0,27.0,NYJ,away,TB
2025_04_NYJ_MIA,2025-09-29,MIA,NYJ,4,27.0,21.0,NYJ,away,MIA
2025_05_DAL_NYJ,2025-10-05,NYJ,DAL,5,22.0,37.0,NYJ,home,DAL
2025_06_DEN_NYJ,2025-10-12,NYJ,DEN,6,11.0,13.0,NYJ,home,DEN
2025_07_CAR_NYJ,2025-10-19,NYJ,CAR,7,6.0,13.0,NYJ,home,CAR
2025_08_NYJ_CIN,2025-10-26,CIN,NYJ,8,38.0,39.0,NYJ,away,CIN
2025_10_CLE_NYJ,2025-11-09,NYJ,CLE,10,27.0,20.0,NYJ,home,CLE
2025_11_NYJ_NE,2025-11-13,NE,NYJ,11,27.0,14.0,NYJ,away,NE
2025_12_NYJ_BAL,2025-11-23,BAL,NYJ,12,23.0,10.0,NYJ,away,BAL
2025_13_ATL_NYJ,2025-11-30,NYJ,ATL,13,27.0,24.0,NYJ,home,ATL
2025_14_MIA_NYJ,2025-12-07,NYJ,MIA,14,10.0,34.0,NYJ,home,MIA
2025_15_NYJ_JAX,2025-12-14,JAX,NYJ,15,48.0,20.0,NYJ,away,JAX
2025_16_NYJ_NO,2025-12-21,NO,NYJ,16,29.0,6.0,NYJ,away,NO
2025_17_NE_NYJ,2025-12-28,NYJ,NE,17,10.0,42.0,NYJ,home,NE
2025_18_NYJ_BUF,2026-01-04,BUF,NYJ,18,35.0,8.0,NYJ,away,BUF
