game_id,game_date,home_team,away_team,week,team,home_away,opponent,pass_attempts,interceptions,pass_defenses,qb_hits,sacks,expected_ints,int_rate,expected_int_rate,expected_minus_actual
2025_01_PIT_NYJ,2025-09-07,NYJ,PIT,1,NYJ,home,PIT,34,0,4,7,4,3.6853705392837,0.0,0.10839325115540295,3.6853705392837
2025_02_BUF_NYJ,2025-09-14,NYJ,BUF,2,NYJ,home,BUF,28,0,5,2,1,4.384139959160951,0.0,0.1565764271128911,4.384139959160951
2025_03_NYJ_TB,2025-09-21,TB,NYJ,3,NYJ,away,TB,30,0,2,2,1,1.959177190487161,0.0,0.06530590634957203,1.959177190487161
2025_04_NYJ_MIA,2025-09-29,MIA,NYJ,4,NYJ,away,MIA,25,0,3,0,0,2.6375650706461644,0.0,0.10550260282584657,2.6375650706461644
2025_05_DAL_NYJ,2025-10-05,NYJ,DAL,5,NYJ,home,DAL,30,0,4,3,1,3.552578797571074,0.0,0.11841929325236913,3.552578797571074
2025_06_DEN_NYJ,2025-10-12,NYJ,DEN,6,NYJ,home,DEN,31,0,2,3,1,1.8592092733114454,0.0,0.05997449268746598,1.8592092733114454
2025_07_CAR_NYJ,2025-10-19,NYJ,CAR,7,NYJ,home,CAR,34,0,7,7,2,6.337931293457815,0.0,0.18640974392522985,6.337931293457815
2025_08_NYJ_CIN,2025-10-26,CIN,NYJ,8,NYJ,away,CIN,35,0,6,2,1,5.558937663623597,0.0,0.15882679038924563,5.558937663623597
2025_10_CLE_NYJ,2025-11-09,NYJ,CLE,10,NYJ,home,CLE,38,0,3,7,6,2.751655004859919,0.0,0.07241197381210314,2.751655004859919
2025_11_NYJ_NE,2025-11-13,NE,NYJ,11,NYJ,away,NE,35,0,3,4,1,2.855011671793037,0.0,0.08157176205122962,2.855011671793037
2025_12_NYJ_BAL,2025-11-23,BAL,NYJ,12,NYJ,away,BAL,24,0,2,1,1,1.910378503546219,0.0,0.0795991043144258,1.910378503546219
2025_13_ATL_NYJ,2025-11-30,NYJ,ATL,13,NYJ,home,ATL,35,0,7,7,2,6.488084427913211,0.0,0.1853738407975203,6.488084427913211
2025_14_MIA_NYJ,2025-12-07,NYJ,MIA,14,NYJ,home,MIA,22,0,6,3,1,5.311249515995103,0.0,0.24142043254523193,5.311249515995103
2025_15_NYJ_JAX,2025-12-14,JAX,NYJ,15,NYJ,away,JAX,32,0,3,2,0,2.8069098356019664,0.0,0.08771593236256145,2.8069098356019664
2025_16_NYJ_NO,2025-12-21,NO,NYJ,16,NYJ,away,NO,53,0,2,5,3,2.0213849055788917,0.0,0.03813933784111116,2.0213849055788917
2025_17_NE_NYJ,2025-12-28,NYJ,NE,17,NYJ,home,NE,26,0,2,3,1,1.8682738654810467,0.0,0.0718566871338864,1.8682738654810467
2025_18_NYJ_BUF,2026-01-04,BUF,NYJ,18,NYJ,away,BUF,31,0,2,0,0,1.8093534787737655,0.0,0.05836624125076663,1.8093534787737655
